,nu,tauv,ratio,g,N,gamma,gSteady
121,40.0,90.0,0.2,10.0,1000.0,5.575175959117301,5.574253870991472
122,40.0,90.0,0.5,10.0,1000.0,6.882238995849093,6.738804030670057
123,40.0,90.0,1.0,10.0,1000.0,8.923787141284636,8.923787141284635
124,40.0,90.0,2.0,10.0,1000.0,14.44022603652041,14.401744556166964
125,40.0,90.0,3.0,10.0,1000.0,15.520691068622286,15.520526055637907
126,50.0,15.0,0.2,10.0,1000.0,4.91377986438898,4.930422839231303
127,50.0,15.0,0.5,10.0,1000.0,4.967917564837247,5.021049246456598
128,50.0,15.0,1.0,10.0,1000.0,5.501068587806112,5.4991766911807645
129,50.0,15.0,2.0,10.0,1000.0,6.3400921727954245,6.300234597530616
130,50.0,15.0,3.0,10.0,1000.0,7.224111048202697,6.902298517664329
131,50.0,30.0,0.2,10.0,1000.0,4.650317603461628,4.649434629938403
132,50.0,30.0,0.5,10.0,1000.0,4.973996059720707,4.968842133696438
133,50.0,30.0,1.0,10.0,1000.0,5.8084640315462135,5.88158042202004
134,50.0,30.0,2.0,10.0,1000.0,7.03937646629772,7.081432483293934
135,50.0,30.0,3.0,10.0,1000.0,8.178455689183934,8.178455689183934
136,50.0,45.0,0.2,10.0,1000.0,4.574707363851917,4.588806120897076
137,50.0,45.0,0.5,10.0,1000.0,5.170685170039288,5.169676991622603
138,50.0,45.0,1.0,10.0,1000.0,6.2881717732372655,6.347022541276528
139,50.0,45.0,2.0,10.0,1000.0,8.963526348799157,8.96343820596906
140,50.0,45.0,3.0,10.0,1000.0,10.657946358977656,9.817347820139476
141,50.0,60.0,0.2,10.0,1000.0,4.802549924019229,4.802450890164613
142,50.0,60.0,0.5,10.0,1000.0,5.399238904799398,5.474418367154945
143,50.0,60.0,1.0,10.0,1000.0,7.116903340052154,7.116903340052154
144,50.0,60.0,2.0,10.0,1000.0,11.914186010886382,12.41638446290328
145,50.0,60.0,3.0,10.0,1000.0,11.676267391321517,11.676267391321517
146,50.0,90.0,0.2,10.0,1000.0,5.440258040409593,5.4372258395538156
147,50.0,90.0,0.5,10.0,1000.0,6.702977851909622,6.702618671505987
148,50.0,90.0,1.0,10.0,1000.0,9.113616767867196,9.113616767867196
149,50.0,90.0,2.0,10.0,1000.0,14.354063138833158,14.354063138833162
150,50.0,90.0,3.0,10.0,1000.0,18.81483130360808,18.55984136613725
151,60.0,15.0,0.2,10.0,1000.0,4.788183080216576,4.786497377680299
152,60.0,15.0,0.5,10.0,1000.0,5.068633477686524,5.0586592028254245
153,60.0,15.0,1.0,10.0,1000.0,5.3794772804305735,5.352728970744436
154,60.0,15.0,2.0,10.0,1000.0,6.155443229715759,6.155506807234982
155,60.0,15.0,3.0,10.0,1000.0,6.3434283635553514,6.522363256150377
156,60.0,30.0,0.2,10.0,1000.0,4.436487230657367,4.440523635171307
157,60.0,30.0,0.5,10.0,1000.0,4.916813992118327,4.944885095855633
158,60.0,30.0,1.0,10.0,1000.0,5.475819562619829,5.467481268579202
159,60.0,30.0,2.0,10.0,1000.0,6.875628050877832,6.874694047785003
160,60.0,30.0,3.0,10.0,1000.0,7.1488917684476645,7.144129812257699
161,60.0,45.0,0.2,10.0,1000.0,4.38481769700596,4.38477710234105
162,60.0,45.0,0.5,10.0,1000.0,4.965411232911715,4.9076012186227445
163,60.0,45.0,1.0,10.0,1000.0,5.874053597737784,5.873804142079078
164,60.0,45.0,2.0,10.0,1000.0,8.026533343939686,8.730744243582174
165,60.0,45.0,3.0,10.0,1000.0,8.28295460405563,8.27057715947351
166,60.0,60.0,0.2,10.0,1000.0,4.477202441523389,4.477163285032229
167,60.0,60.0,0.5,10.0,1000.0,5.237020817953538,5.2890886186854775
168,60.0,60.0,1.0,10.0,1000.0,6.672139031658228,6.671429020636431
169,60.0,60.0,2.0,10.0,1000.0,10.79656489888126,10.796564898881263
170,60.0,60.0,3.0,10.0,1000.0,11.98779351209766,11.779700354149433
171,60.0,90.0,0.2,10.0,1000.0,5.309033761471804,5.30653095283925
172,60.0,90.0,0.5,10.0,1000.0,6.652234055342687,6.652234055342686
173,60.0,90.0,1.0,10.0,1000.0,9.322616459324179,9.322600774387153
174,60.0,90.0,2.0,10.0,1000.0,14.07960001228058,14.079600012280576
175,60.0,90.0,3.0,10.0,1000.0,13.405861687282762,13.405861687282766
176,70.0,15.0,0.2,10.0,1000.0,4.673871538420838,4.731187989164696
177,70.0,15.0,0.5,10.0,1000.0,4.726335092919961,4.763024641359477
178,70.0,15.0,1.0,10.0,1000.0,5.250989720475537,5.241378554233754
179,70.0,15.0,2.0,10.0,1000.0,5.934566736387708,6.054402913272781
180,70.0,15.0,3.0,10.0,1000.0,6.066690222991259,6.303895531646979
181,70.0,30.0,0.2,10.0,1000.0,4.230335960998759,4.259454641666679
182,70.0,30.0,0.5,10.0,1000.0,4.557081590403475,4.550789761759312
183,70.0,30.0,1.0,10.0,1000.0,5.294523100294036,5.363728142210293
184,70.0,30.0,2.0,10.0,1000.0,6.690177174667676,6.501157398152665
185,70.0,30.0,3.0,10.0,1000.0,6.935804219367294,6.728449631127392
186,70.0,45.0,0.2,10.0,1000.0,4.031384868663821,4.026931147084998
187,70.0,45.0,0.5,10.0,1000.0,4.638512942992316,4.683383782510819
188,70.0,45.0,1.0,10.0,1000.0,5.595007863174288,5.594273314767322
189,70.0,45.0,2.0,10.0,1000.0,7.6339617107169975,7.633961710716999
190,70.0,45.0,3.0,10.0,1000.0,7.7223028133088905,7.722302813308891
191,70.0,60.0,0.2,10.0,1000.0,4.222347347968152,4.222011964918529
192,70.0,60.0,0.5,10.0,1000.0,4.957613910952863,5.0009640795366055
193,70.0,60.0,1.0,10.0,1000.0,6.459879945127057,6.459586073636293
194,70.0,60.0,2.0,10.0,1000.0,9.82156687271981,9.925120781771339
195,70.0,60.0,3.0,10.0,1000.0,10.906358527213463,10.906358527213465
196,70.0,90.0,0.2,10.0,1000.0,5.116880716324295,5.116868266114639
197,70.0,90.0,0.5,10.0,1000.0,6.517047119020688,6.5237063801139925
198,70.0,90.0,1.0,10.0,1000.0,9.455362223696428,9.455215939550799
199,70.0,90.0,2.0,10.0,1000.0,13.878880292031617,13.878880292031624
200,70.0,90.0,3.0,10.0,1000.0,12.010129420938187,12.01012942093819
201,80.0,15.0,0.2,10.0,1000.0,4.423264875286446,4.417940453531266
202,80.0,15.0,0.5,10.0,1000.0,4.663102456138026,4.617435761983916
203,80.0,15.0,1.0,10.0,1000.0,5.088867046451354,5.066154852713551
204,80.0,15.0,2.0,10.0,1000.0,5.600027973879725,5.594692586631477
